molecule_chembl_id,target_chembl_id,target_name,bioactivity_type,smiles,standard_value,standard_units,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,RingCount,QED,BertzCT,fr_sulfonamd,Protein_Weight,Protein_Aromaticity,Protein_Instability,Protein_Isoelectric,Protein_Helix_Frac,Protein_Turn_Frac,Protein_Sheet_Frac,Protein_Hydrophobicity
CHEMBL93546,CHEMBL206,CA III,IC50,Oc1ccc2c(c1)SC(c1ccc(F)cc1)C(c1ccc(OCCN3CCCCC3)cc1)O2,3.8,nM,465.5900000000004,6.363100000000006,1,5,41.93000000000001,5,0.4585874642538156,1034.4013510201587,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL309245,CHEMBL206,CA III,IC50,O=c1c2ccc(O)cc2oc2c1oc1cc(O)ccc12,555.0,nM,268.224,3.1036,2,5,83.81,4,0.5116161123907693,1022.6397322904636,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL80314,CHEMBL206,CA III,IC50,COc1cc(O)c2c(=O)c3c(oc2c1)oc1cc(O)ccc13,2728.0,nM,298.25,3.1122000000000005,2,6,93.04,4,0.5605841419848796,1084.068023460901,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL78254,CHEMBL206,CA III,IC50,O=c1c2ccc(O)cc2oc2c1sc1ccccc12,5000.0,nM,268.293,3.866500000000001,1,4,50.44,4,0.5264534839271121,977.3592782205844,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL81074,CHEMBL206,CA III,IC50,N#Cc1cc(O)cc2c1oc1c(=O)c3c(O)cc(O)cc3oc12,1550.0,nM,309.233,2.6808799999999997,3,7,127.83,4,0.4552248586366707,1200.6914227567595,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL78905,CHEMBL206,CA III,IC50,O=c1c2ccc(O)cc2oc2c1oc1c(Br)cc(O)cc12,5000.0,nM,347.12,3.8661,2,5,83.81,4,0.5045581964336219,1068.223087944251,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL78831,CHEMBL206,CA III,IC50,O=c1c2ccccc2oc2c1oc1cc(O)ccc12,5000.0,nM,252.225,3.398000000000001,1,4,63.58,4,0.5206227636421619,977.3592782205844,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL310972,CHEMBL206,CA III,IC50,O=c1c2sc3ccccc3c2oc2cc(O)cc(O)c12,3672.0,nM,284.292,3.5721000000000003,2,5,70.67,4,0.517585740292489,1022.6397322904636,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL145576,CHEMBL206,CA III,IC50,CC1=C(c2ccc(O)cc2)C2(Cc3ccccc3C2)c2ccc(O)cc21,19.0,nM,340.422,5.078700000000004,2,2,40.46,5,0.6484872702760628,1022.6513510201584,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
CHEMBL28,CHEMBL206,CA III,IC50,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1253.0,nM,270.24,2.576800000000001,3,5,90.9,3,0.6318329361180623,830.2815761917543,0,29557.0647,0.1076923076923077,39.78192307692308,6.861625862121582,0.28076923076923077,0.33076923076923076,0.33076923076923076,-0.6030769230769231
