molecule_chembl_id,target_chembl_id,target_name,bioactivity_type,smiles,standard_value,standard_units,MolWt,LogP,NumHDonors,NumHAcceptors,TPSA,RingCount,QED,BertzCT,fr_sulfonamd
CHEMBL378619,CHEMBL264,CA IV,Ki,c1nc([C@@H]2C[C@H]2CCNCC2CCCCC2)c[nH]1,35.0,nM,247.38599999999994,3.073200000000001,2,2,40.71,3,0.7584720548596293,328.9301005382784,0
CHEMBL213886,CHEMBL264,CA IV,Ki,Clc1ccc(CNCC[C@@H]2C[C@H]2c2c[nH]cn2)cc1,8.4,nM,275.783,3.3465000000000016,2,2,40.71,3,0.7940258964788846,489.34439732913114,0
CHEMBL212705,CHEMBL264,CA IV,Ki,c1nc([C@@H]2C[C@H]2CNCC2CCCCC2)c[nH]1,34.4,nM,233.35899999999995,2.6831000000000005,2,2,40.71,3,0.8206325331284299,315.81732641053827,0
CHEMBL213250,CHEMBL264,CA IV,Ki,Clc1ccc(CNC[C@@H]2C[C@H]2c2c[nH]cn2)cc1,1000.0,nM,261.75600000000003,2.9564000000000004,2,2,40.71,3,0.8688599599489839,475.2666791116522,0
CHEMBL213413,CHEMBL264,CA IV,Ki,c1nc([C@@H]2C[C@@H]2CCNCC2CCCCC2)c[nH]1,1000.0,nM,247.38599999999994,3.073200000000001,2,2,40.71,3,0.7584720548596293,328.9301005382784,0
CHEMBL377572,CHEMBL264,CA IV,Ki,Clc1ccc(CNCC[C@H]2C[C@H]2c2c[nH]cn2)cc1,13.9,nM,275.783,3.3465000000000016,2,2,40.71,3,0.7940258964788846,489.34439732913114,0
CHEMBL210006,CHEMBL264,CA IV,Ki,c1nc([C@@H]2C[C@@H]2CNCC2CCCCC2)c[nH]1,1000.0,nM,233.35899999999995,2.6831000000000005,2,2,40.71,3,0.8206325331284299,315.81732641053827,0
CHEMBL378511,CHEMBL264,CA IV,Ki,Clc1ccc(CNC[C@H]2C[C@H]2c2c[nH]cn2)cc1,1000.0,nM,261.75600000000003,2.9564000000000004,2,2,40.71,3,0.8688599599489839,475.2666791116522,0
CHEMBL213133,CHEMBL264,CA IV,Ki,c1nc([C@H]2C[C@H]2CCNCC2CCCCC2)c[nH]1,20.5,nM,247.38599999999994,3.073200000000001,2,2,40.71,3,0.7584720548596293,328.9301005382784,0
CHEMBL215628,CHEMBL264,CA IV,Ki,Clc1ccc(CNCC[C@@H]2C[C@@H]2c2c[nH]cn2)cc1,43.7,nM,275.783,3.3465000000000016,2,2,40.71,3,0.7940258964788846,489.34439732913114,0
CHEMBL215627,CHEMBL264,CA IV,Ki,c1nc([C@H]2C[C@H]2CNCC2CCCCC2)c[nH]1,1000.0,nM,233.35899999999995,2.6831000000000005,2,2,40.71,3,0.8206325331284299,315.81732641053827,0
CHEMBL557151,CHEMBL264,CA IV,Ki,Br.N=C(N)NCCSC(=N)N,1000.0,nM,242.146,-0.32595999999999975,5,3,111.77,0,0.26489882220809535,104.0,0
CHEMBL218790,CHEMBL264,CA IV,Ki,O=C(/C=C/c1ccc(C(F)(F)F)cc1)N1CCC[C@H]1CN1CCCC1,4.7,nM,352.40000000000015,3.8054000000000023,0,2,23.550000000000004,3,0.769676860473218,589.9206356863664,0
CHEMBL218915,CHEMBL264,CA IV,Ki,O=C(NCc1ccc(-c2ccccc2)cc1)N1CCC[C@H]1CN1CCCC1,87.0,nM,363.5050000000003,4.123400000000003,1,2,35.580000000000005,4,0.8671485720915023,718.3934444027282,0
CHEMBL216669,CHEMBL264,CA IV,Ki,O=C(NCc1ccc(OC(F)(F)F)cc1)N1CCC[C@H]1CN1CCCC1,121.0,nM,371.40300000000025,3.355000000000002,1,3,44.81,3,0.8633735067668724,565.0510281761195,0
CHEMBL387251,CHEMBL264,CA IV,Ki,O=C(NCc1ccc(Cl)cc1)N1CCC[C@H]1CN1CCCC1,165.0,nM,321.85200000000015,3.1098000000000017,1,2,35.580000000000005,3,0.9245849060768604,475.26470384907327,0
CHEMBL218836,CHEMBL264,CA IV,Ki,O=C(NCc1ccc(C(F)(F)F)cc1)N1CCC[C@H]1CN1CCCC1,162.0,nM,355.4040000000002,3.475200000000002,1,2,35.580000000000005,3,0.8976230537908353,550.6962612538605,0
CHEMBL219647,CHEMBL264,CA IV,Ki,O=C(/C=C/c1ccc(-c2ccccc2)cc1)N1CCC[C@H]1CN1CCCC1,3.7,nM,360.50100000000026,4.453600000000003,0,2,23.550000000000004,4,0.7354565108520078,759.4454265669142,0
CHEMBL218929,CHEMBL264,CA IV,Ki,O=C(/C=C/c1ccc(OC(F)(F)F)cc1)N1CCC[C@H]1CN1CCCC1,13.4,nM,368.3990000000002,3.6852000000000027,0,3,32.78,3,0.7435059432549359,604.4335501527711,0
CHEMBL218991,CHEMBL264,CA IV,Ki,O=C(/C=C/c1ccc(Cl)cc1)N1CCC[C@H]1CN1CCCC1,11.2,nM,318.8480000000001,3.440000000000002,0,2,23.550000000000004,3,0.7939760284468055,513.4742215936724,0
CHEMBL384428,CHEMBL264,CA IV,Ki,O=C(NCc1ccccc1)N1CCC[C@H]1CN1CCCC1,196.0,nM,287.40700000000004,2.4564000000000004,1,2,35.580000000000005,3,0.9230900070294222,438.36593163707147,0
CHEMBL216160,CHEMBL264,CA IV,Ki,O=C(NC1Cc2ccccc2C1)N1CCC[C@H]1CN1CCCC1,52.0,nM,313.4450000000001,2.4236000000000004,1,2,35.580000000000005,4,0.9300822014468495,523.9116674438749,0
